processo,uf,municipio,codigo_ibge,orgao,objeto_compra,link_portal,parecer_geral,prioridade,deve_priorizar,modo_processamento,contexto_dominante,justificativa,recomendacao_motivo,total_itens,aderencia_direta,aderencia_parcial_forte,aderencia_parcial_fraca,falso_positivo_lexical,nao_aderente,valor_estimado,valor_homologado,data_encerramento,srp,situacao,provedor,modelo,analisado_em,custo_usd,tok_in,tok_out,cache_r,cache_w,n_chamadas_llm,lat_ms_total
18125161000177-1-000015/2026,MG,Unaí,3170404,MUNICIPIO DE UNAI,"AQUISIÇÃO E INSTALAÇÃO DE SISTEMA DE MONITORAMENTO DE SEGURANÇA POR CÂMERAS PARA CIRCUITO FECHADO DE TELEVISÃO – CFTV PARA ATENDER OS SETORES DO HOSPITAL MUNICIPAL DR. JOAQUIM BROCHADO, PRONTO ATENDIMENTO DOMINGOS DANTAS E NÚCLEO ADMINISTRATIVO DO HMU EM UNAÍ-MG.",https://bnccompras.com/Process/ProcessView?param1=[gkz]0NNBYL1aASw455x4LW7oX5A55aEcIDxo0DCLC2pVASHrHnMOAbnGdCXadb4ll8Giw9u7mGzgSqfN1EgVRECvmyG18ik0K6tP/U7eb3b4RdM=,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição e instalação de sistema de monitoramento por CFTV (circuito fechado de televisão) para hospital municipal, incluindo câmeras IP, gravadores NVR, infraestrutura de rede, nobreak e serviço de instalação.","Licitação pertence ao mercado de segurança eletrônica e infraestrutura hospitalar. Resgatécnica é fornecedora de equipamentos operacionais para emergências (resgate, incêndio, proteção individual). Nenhum item alinha-se ao portfólio técnico-operacional da empresa.",Licitação 100% fora do escopo operacional. Resgatécnica fornece equipamentos para emergências/resgate. CFTV é mercado de segurança eletrônica e infraestrutura hospitalar administrativa. Nenhuma sinergia comercial real.,8,0,0,0,0,8,96427.66,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:05:23,0.015615,2612,2178,60165,0,1,13262
18137935000180-1-000012/2026,MG,São Geraldo,3161502,MUNICIPIO DE SAO GERALDO,"Registro de Preços para contratação de empresa especializada na prestação de serviços médicos especialistas e enfermagem, compreendendo a disponibilização de médicos, enfermeiros e técnicos de enfermagem, sob demanda, para atender às necessidades da Secretaria Municipal de Saúde de São Geraldo/MG.",,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços médicos e de enfermagem para atender demandas rotineiras de Secretaria Municipal de Saúde (plantões hospitalares, especialidades clínicas, enfermagem geral).","Licitação é de serviços médicos e enfermagem hospitalar rotineira. Resgatécnica é fornecedora de equipamentos para emergências e operações críticas, não prestadora de serviços de saúde.","Licitação é de serviços médicos e enfermagem hospitalar. Resgatécnica é fornecedora de equipamentos para emergências, não prestadora de serviços de saúde. Incompatibilidade total de modelo de negócio.",8,0,0,0,0,8,997847.72,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:02:43,0.015454,2141,2232,60165,0,1,12149
18192252000125-1-000014/2026,MG,Santa Rosa da Serra,3159704,MUNICIPIO DE SANTA ROSA DA SERRA,[LICITANET] - AQUISIÇÃO DE MATERIAIS E EQUIPAMENTOS DE INFORMÁTICA,https://licitanet.com.br/sessao/174098,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de materiais e equipamentos de informática: cabos de rede, conectores, cabos de vídeo, cabos USB, câmera de segurança, caixa de som, notebook com especificações técnicas altas.",Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação é exclusivamente de TI e infraestrutura de redes. Resgatécnica não fornece cabos de rede, conectores, periféricos de computador, notebooks ou câmeras de vigilância. Nenhum item está no escopo operacional da empresa.",50,0,0,0,0,50,821993.43,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:01:53,0.052393,5663,9559,120330,0,2,46607
18241380000111-1-000015/2026,MG,Itamogi,3132909,MUNICIPIO DE ITAMOGI,REGISTRO DE PREÇOS PARA A EVENTUAL CONTRATAÇÃO DE PESSOA FÍSICA OU JURÍDICA VISANDO O TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE EDUCAÇÃO DE ITAMOGI.,,NAO_ADERENTE,DESCARTAR,0,llm,Transporte de alunos da rede municipal de educação - serviço de logística escolar rotineira,"Licitação é para transporte escolar municipal. Resgatécnica atua em emergências e operações críticas, não em transporte educacional de rotina.",Licitação fora do escopo operacional da empresa. Resgatécnica não fornece serviços de transporte escolar municipal.,2,0,0,0,0,2,209526.0,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:06:49,0.009959,1157,1055,60165,0,1,7908
18283101000182-1-000013/2026,MG,Itacarambi,3132107,MUNICIPIO DE ITACARAMBI,"Constitui objeto da presente licitação o Registro de Preços para contratação de empresa especializada para o fornecimento de kits escolares, destinados aos alunos regularmente matriculados na Rede Municipal de Ensino de Itacarambi/MG.",https://bllcompras.com/Process/ProcessView?param1=[gkz]AzUOKcfx5c5A9CYGx7Y89YZRwUYkwUO9HaOPadVxjAVS/yp/PrZcV0dicBKup66_diLv/BtxqS3bnTgRbBLVfhyY2DstZ2nncCsHSFA9GbM=,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para fornecimento de kits escolares (garrafinha, toalha, agenda, lápis de cor, massa de modelar, cola, borracha, caderno, giz, tempera, tesoura, pincel) destinados a alunos da rede municipal de ensino infantil e fundamental de Itacarambi/MG.",Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação de papelaria e material didático escolar infantil. Resgatécnica é fornecedora especializada em operações críticas, resgate e emergências. Não há compatibilidade comercial, operacional, de nicho ou de tipo de cliente. Recomenda-se descartar completamente.",50,0,0,0,0,50,531095.79,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:11:55,0.054967,9410,9453,120330,0,2,47766
18299446000124-1-000140/2025,MG,Itabira,3131703,MUNICIPIO DE ITABIRA,Contratacao de empresa de engenharia para perfuracaoe e equipagem de novo poco tubular profundo  reforma e melhoria do barrilete existente conforme especificacoes.  e Contratacao de empresa de engenharia para perfuracao e equipagem de novo poco tubular profundo  reforma e melhoria do barrilete exist…, ,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços de engenharia para perfuração e equipagem de poço tubular profundo, reforma e melhoria de barrilete","Licitação é para serviços de engenharia civil e perfuração de poços. Resgatécnica é fornecedora de equipamentos para emergências e operações críticas, não prestadora de serviços de engenharia ou perfuração.",Licitação pertence a mercado completamente distinto (engenharia civil/perfuração). Resgatécnica não atua neste segmento.,1,0,0,0,0,1,1449388.06,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T00:59:33,0.064848,1139,943,0,60165,1,7657
18306654000103-1-000053/2026,MG,Japaraíba,3135308,MUNICIPIO DE JAPARAIBA,"[LICITANET] - Aquisição de resmas de papel A4, destinadas ao atendimento das demandas das Secretarias Municipais da Prefeitura de Japaraíba/MG.",https://licitanet.com.br/sessao/180384,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de resmas de papel A4 (papel sulfite branco, 500 folhas, 75 g/m²) para atendimento administrativo de Secretarias Municipais","Licitação é de papelaria administrativa pura. Resgatécnica é fornecedora especializada em equipamentos operacionais de emergência e resgate, não em material de escritório genérico.",Licitação de papelaria administrativa. Fora do escopo comercial e operacional da Resgatécnica.,1,0,0,0,0,1,134496.0,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:18:57,0.009481,1225,922,60165,0,1,7383
18306662000150-1-000244/2025,MG,Arcos,3104205,MUNICIPIO DE ARCOS,Contratacao de Empresa especializada em Transporte de Urgencia e Emergencia em UTI MOVEL   TIPO D  a seguir discriminado  Transporte de pacientes para diversas cidades  em carater de urgencia e emergencia  em veiculo especializado de remocao  UTI MOVEL   TIPO D com equipe completa  Motorista  Medico…, ,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviço de transporte de urgência e emergência em UTI móvel tipo D, com equipe médica completa (motorista, médico, enfermeiro)","Licitação busca contratar serviço de transporte de pacientes, não fornecimento de equipamentos ou soluções operacionais. Resgatécnica é fornecedora de equipamentos, não prestadora de serviço de transporte hospitalar.","Licitação é para serviço de transporte hospitalar. Resgatécnica é fornecedora de equipamentos operacionais, não prestadora de serviço de transporte de pacientes. Sem aderência comercial real.",1,0,0,0,0,1,1012500.0,,2026-05-04,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:01:06,0.010037,1260,1054,60165,0,1,7367
18307413000189-1-000013/2026,MG,Dores de Guanhães,3123106,MUNICIPIO DE DORES DE GUANHAES,"[LICITANET] - Registro de Preços para futura e eventual contratação de empresa especializada na prestação de serviços de locação de estrutura para eventos incluindo montagem, utilização, manutenção, desmontagem e apoio logístico para atendimento dos eventos promovidos pelo Município de Dores de Guan…",https://licitanet.com.br/sessao/174863,NAO_ADERENTE,DESCARTAR,0,llm,"Registro de preços para locação de estrutura e serviços para eventos municipais (shows, festas, eventos culturais) incluindo palcos, iluminação profissional, sonorização, bandas musicais, segurança privada e gerador.","Licitação é exclusivamente para eventos municipais de entretenimento. Resgatécnica atua em emergências críticas, não em eventos culturais ou shows. Nenhum item pertence ao nicho operacional da empresa.","Licitação é exclusivamente para eventos municipais de entretenimento (shows, festas, sonorização, bandas musicais). Resgatécnica atua em operações críticas e emergências. Não há compatibilidade comercial real. Os dois itens com aderência parcial fraca (estruturas Q-30 e Q-50) são apenas coincidência…",13,0,0,2,0,10,0.0,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:02:22,0.019532,2989,3082,60165,0,1,19011
18307835000154-1-000268/2025,MG,Itabirito,3131901,MUNICIPIO DE ITABIRITO,"Contratação de empresa especializada para fornecimento e gestão de planos de telefonia celular, com disponibilização de aparelhos móveis e serviços de voz e dados, destinados a atender às demandas da Prefeitura Municipal de Itabirito.",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=98463705900962025,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços de telefonia celular (SMP) com fornecimento de aparelhos móveis e planos de voz, dados e SMS para prefeitura municipal","Licitação de serviços de telefonia celular. Resgatécnica atua exclusivamente em equipamentos e soluções para emergências, resgate e operações críticas. Nenhuma sobreposição comercial, operacional ou técnica.","Licitação de telecomunicações. Resgatécnica não fornece serviços de telefonia celular, planos SMP ou aparelhos móveis. Mercado completamente distinto do portfólio da empresa.",2,0,0,0,0,2,1066800.0,,2026-05-06,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:03:12,0.010231,1192,1116,60165,0,1,7591
18309724000187-1-000036/2026,MG,Itaúna,3133808,MUNICIPIO DE ITAUNA,"CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE CONCENTRADORES DE OXIGÊNIO, PARA ATENDER DEMANDAS DOS PACIENTES USUÁRIOS DE OXIGENOTERAPIA DOMICILIAR, RECURSO VINCULADO PORTARIA 6532/2025 CC 575852534-7.",https://app2.licitardigital.com.br/pesquisa/94855,NAO_ADERENTE,DESCARTAR,0,llm,"Locação de concentradores de oxigênio para oxigenoterapia domiciliar em município. Mercado de saúde pública/domiciliar, não emergencial.","Licitação é para locação de equipamento médico de uso domiciliar contínuo. Resgatécnica atua em operações críticas/emergências, não em saúde domiciliar rotineira.",Licitação fora do escopo operacional. Resgatécnica não fornece serviços de locação de equipamentos médicos domiciliares.,1,0,0,0,0,1,329664.0,,2026-05-04,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:48,0.00976,1129,1011,60165,0,1,7387
18313817000185-1-000057/2026,MG,Pará de Minas,3147105,MUNICIPIO DE PARA DE MINAS,"Contratação de empresa para prestação de serviços de Seguro Total (com franquia reduzida), para os veículos pertencentes à frota municipal.",,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços de seguro veicular para frota municipal (25 veículos diversos: carros, ambulância, caminhões, ônibus, tratores).",Agregado de 2 lotes. Aderentes: 0/40 (0%).,"Licitação exclusivamente de serviços de seguros veiculares. Resgatécnica é fornecedora de equipamentos operacionais para emergências, não prestadora de serviços de seguros. Incompatibilidade total com portfólio e ramo de atuação.",40,0,0,0,0,40,121370.62,,2026-05-07,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:09:11,0.04379,4425,7656,120330,0,2,33520
18313817000185-1-000058/2026,MG,Pará de Minas,3147105,MUNICIPIO DE PARA DE MINAS,"Contratação de empresa para PRESTAÇÃO DE SERVIÇOS DE SEGURO TOTAL (com franquia reduzida), para os veículos pertencentes à frota municipal.",,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços de seguro total (com franquia reduzida) para frota municipal de veículos diversos (carros, ambulâncias, caminhões, ônibus, tratores).",Agregado de 2 lotes. Aderentes: 0/40 (0%).,"Licitação é exclusivamente de serviços de seguros veiculares. Resgatécnica é fornecedora de equipamentos operacionais para emergências, não seguradora. Nenhuma compatibilidade comercial real.",40,0,0,0,0,40,121370.62,,2026-05-07,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:09:46,0.043603,4351,7624,120330,0,2,34059
18316182000170-1-000016/2026,MG,Barra Longa,3105707,MUNICIPIO DE BARRA LONGA,"Registro de Preços para eventual contratação de empresa especializada para a execução de serviços de poda, corte, supressão controlada e manejo de árvores, incluindo a disponibilização de caminhão tipo Munck/guindaste com cesto aéreo acoplado e operador habilitado, bem como a coleta, transporte e de…",https://app2.licitardigital.com.br/pesquisa/96829,NAO_ADERENTE,DESCARTAR,0,llm,"Serviços de poda, corte, supressão controlada e manejo de árvores, com transporte e destinação de resíduos vegetais. Licitação municipal para manutenção ambiental urbana.","Licitação pertence ao mercado de arboricultura e serviços ambientais municipais. Resgatécnica atua exclusivamente em resposta a emergências, resgate e operações críticas. Nenhuma sobreposição comercial ou operacional.","Licitação de arboricultura municipal. Resgatécnica não possui expertise, equipamentos ou posicionamento comercial neste mercado. Risco reputacional de participação inadequada.",4,0,0,0,1,3,167184.0,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:17:18,0.011954,1511,1483,60165,0,1,10946
18317685000160-1-000013/2026,MG,Barão de Cocais,3105400,MUNICIPIO DE BARAO DE COCAIS,"Pregão Eletrônico visando a aquisição de 1 (um) mamógrafo digital e 1 (uma) impressora a laser para filmes radiológicos, incluindo mamografia, em atendimento às demandas da Secretaria Municipal de Saúde de Barão de Cocais/MG",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=98410705900192026,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de equipamentos médicos de diagnóstico (mamógrafo digital) e impressora radiológica para secretaria municipal de saúde,"Licitação pertence ao mercado de equipamentos médicos hospitalares e diagnóstico por imagem. Resgatécnica atua em operações críticas e emergências, não em imagiologia ou equipamentos de diagnóstico hospitalar.",Licitação em mercado completamente distinto. Resgatécnica não é fornecedora de equipamentos de diagnóstico médico hospitalar.,2,0,0,0,0,2,1043536.97,,2026-05-06,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:00:42,0.010129,1170,1095,60165,0,1,7840
18338178000102-1-000125/2026,MG,Juiz de Fora,3136702,MUNICIPIO DE JUIZ DE FORA,"[Portal de Compras Públicas] - Prestação de serviços de Locação de Sistema Integrado de Gestão Previdenciária, com implantação, manutenção (preventiva, corretiva, adaptativa e evolutiva), treinamento e suporte técnico. - JFPREV",https://www.portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Juiz-de-Fora-13/PE-015-2026-2026-468426,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para locação de sistema integrado de gestão previdenciária (software administrativo) com implantação, manutenção, treinamento e suporte técnico","Licitação é de software administrativo-previdenciário. Resgatécnica é fornecedora de equipamentos operacionais para emergências, não de soluções de TI.",Licitação fora do escopo operacional da empresa. Resgatécnica não fornece software de gestão administrativa ou serviços de TI.,1,0,0,0,0,1,383000.0,,2026-05-05,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:08:36,0.00969,1181,983,60165,0,1,7414
18338830000199-1-000025/2026,MG,Iapu,3129301,MUNICIPIO DE IAPU,"REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE MEDICAMENTOS GENÉRICOS PARA ATENDER PACIENTES CADASTRADOS NA ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO MUNICÍPIO, CONFORME TERMO DE REFERÊNCIA.",,NAO_ADERENTE,DESCARTAR,0,llm,Registro de preços para aquisição de medicamentos genéricos injetáveis (ampolas) para atender pacientes da Estratégia de Saúde da Família em município de Minas Gerais,Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação de medicamentos genéricos. Resgatécnica é fornecedora de equipamentos operacionais de emergência, não de medicamentos. Nenhuma compatibilidade comercial real.",50,0,0,0,1,49,888822.52,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:13:37,0.05082,4958,9307,120330,0,2,42710
18385112000173-1-000016/2026,MG,Santa Margarida,3157906,MUNICIPIO DE SANTA MARGARIDA,"Contratação de pessoa jurídica especializada para o fornecimento de equipamentos médico-hospitalares, mobiliários e instrumentais, incluindo a instalação e treinamento para os itens necessários, conforme as especificações técnicas, com recursos provenientes da Resolução SES nº 9.470, de 24 de abril …",https://app2.licitardigital.com.br/pesquisa/95521,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para fornecimento de equipamentos médico-hospitalares, mobiliários e instrumentais para Hospital Municipal e Secretaria de Saúde. Foco em infraestrutura hospitalar permanente, atendimento clínico de rotina e diagnóstico.",Agregado de 2 lotes. Aderentes: 0/34 (0%).,Licitação pertence a mercado completamente distinto. Resgatécnica é especializada em operações críticas e emergências técnicas. Esta licitação é para infraestrutura hospitalar permanente e equipamentos de rotina clínica. Nenhuma sinergia comercial real.,34,0,0,2,3,29,738959.87,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:10:27,0.04188,4201,7223,120330,0,2,40191
18392522000141-1-000028/2026,MG,Lajinha,3137700,MUNICIPIO DE LAJINHA,"Contratação de empresa especializada para prestação de serviços de vidraçaria, compreendendo o fornecimento, instalação, manutenção, retirada e substituição de vidros, destinados a atender às demandas das Secretarias Municipais do Município de Lajinha/MG.",,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para serviços de vidraçaria municipal: fornecimento, instalação, manutenção e substituição de vidros e acessórios para edifícios públicos (secretarias municipais). Mercado de construção civil e manutenção predial genérica.","Licitação totalmente fora do escopo operacional da Resgatécnica. Nenhum item pertence ao universo de resgate, emergências, combate a incêndio ou proteção individual técnica. Vidraçaria predial é mercado completamente distinto.","Licitação de vidraçaria predial municipal. Totalmente fora do escopo operacional da Resgatécnica. Nenhum item pertence ao universo de resgate, emergências, combate a incêndio ou proteção individual técnica. Mercado completamente distinto. Não recomenda-se participação.",24,0,0,0,0,24,225012.65,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:15:49,0.024936,2413,4548,60165,0,1,21624
18401018000160-1-000043/2026,MG,São Domingos do Prata,3161007,MUNICIPIO DE SAO DOMINGOS DO PRATA,"Registro de Preços para eventual prestação de serviços de transporte rodoviário de passageiros em viagens municipais, intermunicipais e interestaduais.",https://app2.licitardigital.com.br/pesquisa/95708,NAO_ADERENTE,DESCARTAR,0,llm,"Serviço de transporte rodoviário de passageiros em viagens municipais, intermunicipais e interestaduais. Fretamento de veículos (minivans, vans, ônibus, micro-ônibus) com motorista, combustível e manutenção.","Licitação é de transporte comercial de passageiros. Resgatécnica fornece equipamentos para emergências e operações críticas, não serviços de fretamento ou transporte de passageiros.",Licitação é de transporte comercial de passageiros. Resgatécnica é fornecedora de equipamentos para emergências e operações críticas. Não há compatibilidade comercial real.,8,0,0,0,0,8,2256415.0,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:07:22,0.014929,1845,2160,60165,0,1,11814
18401059000157-1-000022/2026,MG,João Monlevade,3136207,MUNICIPIO DE JOAO MONLEVADE,"Contratação de empresa especializada para prestação de serviços de INSTALAÇÃO, MANUTENÇÃO E MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA ELETRÔNICA, tais como CFTV, sensores de presença e centrais de alarme, em regime comodato, monitoramento eletrônico em prédios públicos, durante 24h por dia, incluin…",,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviço de instalação, manutenção e monitoramento eletrônico 24h de CFTV, sensores e centrais de alarme em prédios públicos municipais","Licitação é de segurança eletrônica predial, completamente fora do nicho operacional da Resgatécnica","Licitação de segurança eletrônica predial. Resgatécnica é fornecedora de equipamentos e soluções para operações críticas de resgate, emergência e combate a incêndio, não de sistemas de vigilância eletrônica ou monitoramento remoto de infraestrutura.",1,0,0,0,0,1,1013294.52,,2026-05-04,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:03:38,0.009753,1170,1001,60165,0,1,7709
18401059000157-1-000034/2026,MG,João Monlevade,3136207,MUNICIPIO DE JOAO MONLEVADE,"Registro de Preços para a AQUISIÇÃO DE LANCHES sanduíche e refrigerante, em atendimento às necessidades de todas as Secretarias que compõem a Administração Direta de João Monlevade.",,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de lanches (sanduíches e refrigerantes) para atender necessidades administrativas gerais de secretarias municipais,"Licitação de alimentos e bebidas para consumo administrativo. Resgatécnica é fornecedora especializada em equipamentos técnico-operacionais de emergência. Nenhuma sobreposição comercial, operacional ou de nicho.","Licitação completamente fora do escopo comercial, operacional e técnico da Resgatécnica. Nenhuma oportunidade de negócio.",2,0,0,0,0,2,270918.93,,2026-05-13,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:15:06,0.010069,1160,1082,60165,0,1,8618
18404780000109-1-000024/2026,MG,Teófilo Otoni,3168606,MUNICIPIO DE TEOFILO OTONI,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FUTURA E EVENTUAL PRESTAÇÃO DE SERVIÇO DE INSTALAÇÃO DE GERADORES PARA ATENDER AS NECESSIDADES DO MUNICÍPIO DE TEÓFILO OTONI – MG,https://app2.licitardigital.com.br/pesquisa/94117,NAO_ADERENTE,DESCARTAR,0,llm,"Locação de geradores móveis para fornecimento de energia elétrica a município. Mercado de infraestrutura energética municipal, não de resposta a emergências.","Licitação é para locação de geradores móveis de alta capacidade (180-260 KVA) para atender necessidades municipais de energia. Resgatécnica não atua em fornecimento ou locação de geradores industriais. Empresa especializa-se em equipamentos de resgate, combate a incêndio e proteção individual, não e…","Licitação pertence a mercado de infraestrutura energética municipal. Resgatécnica não possui portfólio, expertise ou posicionamento comercial em locação de geradores industriais. Recomenda-se descartar completamente.",2,0,0,0,0,2,1438174.4,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:32,0.010696,1518,1167,60165,0,1,8537
18409243000143-1-000013/2026,MG,São Pedro do Suaçuí,3164100,MUNICIPIO DE SAO PEDRO DO SUACUI,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO
PREVENTIVA E CORRETIVA DE COMPUTADORES E IMPRESSORAS, COM SUBSTITUIÇÃO
EVENTUAL DE PEÇAS, QUANDO NECESSÁRIA, PARA ATENDIMENTO DAS DEMANDAS DAS
SECRETARIAS MUNICIPAIS DO MUNICÍPIO DE SÃO PEDRO DO SUAÇUÍ/MG.",https://app2.licitardigital.com.br/pesquisa/96790,NAO_ADERENTE,DESCARTAR,0,llm,Serviços de manutenção preventiva e corretiva de computadores e impressoras para secretarias municipais,"Licitação pertence ao mercado de TI e manutenção administrativa. Resgatécnica atua exclusivamente em operações críticas, emergências e resgate. Sem intersecção comercial real.",Licitação de TI administrativa. Resgatécnica não fornece serviços de manutenção de computadores ou impressoras. Mercados completamente distintos.,2,0,0,0,0,2,186665.0,,2026-04-30,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:16:23,0.010162,1271,1083,60165,0,1,7458
18431312000620-1-000112/2026,MG,Uberlândia,3170206,MUNICIPIO DE UBERLANDIA,"Futura e eventual aquisição de equipamentos médicos hospitalares(Balança Infantil, Cadeira fixa) destinados à Secretaria Municipal de Saúde.",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92692205900772026,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de equipamentos médicos hospitalares (balança infantil, cadeira fixa, eletrocardiógrafo) para Secretaria Municipal de Saúde","Licitação focada em equipamentos médicos hospitalares genéricos de diagnóstico e monitoramento clínico de rotina, fora do escopo operacional de emergência e resgate da Resgatécnica.",Licitação de equipamentos médicos hospitalares genéricos incompatível com portfólio operacional de emergência.,1,0,0,0,0,1,409541.06,,2026-05-07,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:02,0.009472,1083,948,60165,0,1,6738
18602029000109-1-000018/2026,MG,Carmo do Paranaíba,3114303,MUNICIPIO DE CARMO DO PARANAIBA,"[LICITANET] - Aquisição de veículos automotores, novos, zero quilômetro, destinados ao atendimento das demandas das Secretarias Municipais, em conformidade com as condições, quantidades e exigências estabelecidas neste instrumento.",https://licitanet.com.br/sessao/178551,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de veículos automotores novos (ônibus escolar, minivan, van sanitária, van de transporte) para secretarias municipais. Mercado de transporte público/escolar/sanitário municipal.","Licitação é de transporte público/escolar/sanitário municipal. Resgatécnica fornece equipamentos técnico-operacionais para emergências, não veículos de transporte convencional.","Licitação é de transporte público/escolar/sanitário municipal. Resgatécnica é especialista em equipamentos técnico-operacionais para emergências críticas, não fornecedora de veículos de transporte convencional. Sem aderência comercial real.",4,0,0,1,0,3,0.0,,2026-04-30,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:10:49,0.012405,1890,1520,60165,0,1,10417
18602037000155-1-000082/2026,MG,São Gotardo,3162104,MUNICIPIO DE SAO GOTARDO,"CONTRATACAO DE EMPRESA(S) ESPECIALIZADA(S) PARA EXECUCAO DE SERVICOS DE ADAPTACAO VEICULAR E FABRICACAO, FORNECIMENTO E INSTALACAO DE IMPLEMENTOS, DESTINADOS A VEICULOS PERTENCENTES A FROTA DO MUNICIPIO DE SAO GOTARDO/MG, CONFORME CONDICOES, QUANTIDADES E EXIGENCIAS ESTABELECIDAS NESTE INSTRUMENTO  …",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NAO_ADERENTE,DESCARTAR,0,llm,"Adaptação veicular e fabricação de implementos para frota municipal (tanques pipa, comboios de abastecimento, alongamento de chassis)","Licitação voltada para adaptações veiculares e implementos de transporte/abastecimento municipal. Resgatécnica atua em equipamentos de emergência e operações críticas, não em infraestrutura municipal genérica.","Licitação 100% fora do escopo operacional. Resgatécnica não fornece infraestrutura municipal, tanques de abastecimento genéricos ou adaptações veiculares para transporte de cargas. Mercados completamente distintos.",4,0,0,0,0,4,576768.34,,2026-05-07,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:10:38,0.0126,2189,1509,60165,0,1,10527
